Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1000000.0 ; 3.82265E-8
2000000.0 ; 7.93934E-7
3000000.0 ; 1.57661E-5
4000000.0 ; 4.57001E-5
5000000.0 ; 6.38733E-5
6000000.0 ; 7.525631E-5
7000000.0 ; 8.203131E-5
8000000.0 ; 1.2207E-6
9000000.0 ; 4.39453E-5
1.0E7 ; 0.015466
1.1E7 ; 0.172519
1.2E7 ; 0.408192
1.3E7 ; 0.563311
1.4E7 ; 0.6628661
1.5E7 ; 0.7314001
1.6E7 ; 0.784821
1.7E7 ; 0.831831
1.8E7 ; 0.872641
1.9E7 ; 0.904896
2.0E7 ; 0.929585
2.2E7 ; 0.9639871
2.4E7 ; 0.986912
2.6E7 ; 1.00127
2.8E7 ; 1.0098
3.0E7 ; 1.01691
3.5E7 ; 1.01813
4.0E7 ; 1.01521
4.5E7 ; 1.00926
5.0E7 ; 1.00115
5.5E7 ; 0.99298
6.0E7 ; 0.9847791
6.5E7 ; 0.976568
7.0E7 ; 0.968385
7.5E7 ; 0.96027
8.0E7 ; 0.952256
9.0E7 ; 0.936594
1.0E8 ; 0.92147
1.1E8 ; 0.906813
1.2E8 ; 0.892765
1.3E8 ; 0.879149
1.4E8 ; 0.8660811
1.5E8 ; 0.853402
1.6E8 ; 0.841206
1.8E8 ; 0.8179051
2.0E8 ; 0.796134
